Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
The Swatch Group AG;UHRN;1225514;CH;CHF;XSWX;Registered Share;0.45;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Up
The Swatch Group AG;UHR;1225515;CH;CHF;XSWX;Bearer Share;2.25;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Up
Thurgauer Kantonalbank;TKBP;23135110;CH;CHF;XSWX;Participation Certificate;20.00;Swiss Reporting Standard;Bank law;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Tornos Holding AG;TOHN;1160768;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
TX Group AG;TXGN;1117825;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
u-blox Holding AG;UBXN;3336167;CH;CHF;XSWX;Registered Share;13.50;International Reporting Standard;IFRS;19.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
UBS Group AG;UBSG;24476758;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Unisys Corporation;UIS;10641130;US;CHF;XSWX;Registered Share;0.01;International Reporting Standard;;;;KPMG LLP - US;No;;FALSE;
V-ZUG Holding AG;VZUG;54248374;CH;CHF;XSWX;Registered Share;0.27;Swiss Reporting Standard;Swiss GAAP FER;25.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Valartis Group AG;VLRT;36742768;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;16.05.2023;31.12.;BDO AG - CH[500705];No;;TRUE;Out
Valiant Holding AG;VATN;1478650;CH;CHF;XSWX;Registered Share;0.50;Swiss Reporting Standard;Bank law;17.05.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Valora Holding AG;VALN;208897;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Varia US Properties AG;VARN;30528529;CH;CHF;XSWX;Registered Share;1.00;Standard for Real Estate Companies;IFRS;25.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
VAT Group AG;VACN;31186490;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Vaudoise Assurances Holding SA;VAHN;2154566;CH;CHF;XSWX;Registered Share;25.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Vetropack Holding AG;VETN;53023559;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Vifor Pharma AG;VIFN;36474934;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Villars Holding S.A.;VILN;260965;CH;CHF;XSWX;Registered Share;44.00;Swiss Reporting Standard;Swiss GAAP FER;10.05.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Von Roll Holding AG;ROL;324535;CH;CHF;XSWX;Bearer Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;19.04.2023;31.12.;Deloitte AG - CH[500420];No;;TRUE;Out
Vontobel Holding AG;VONN;1233554;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;04.04.2023;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
VP Bank AG;VPBN;31548726;LI;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;28.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
VT5 Acquisition Company AG;VT5;110797983;CH;CHF;XSWX;Registered Share;0.10;Standard for SPACs;IFRS;28.02.2023;31.10.;Deloitte AG - CH[500420];No;;TRUE;
VZ Holding AG;VZN;52875158;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;12.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Walliser Kantonalbank;WKBN;30595120;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Bank law;28.04.2023;31.12.;Deloitte AG - CH[500420];No;;TRUE;
Warteck Invest AG;WARN;261948;CH;CHF;XSWX;Registered Share;10.00;Standard for Real Estate Companies;Swiss GAAP FER;10.05.2023;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
WISeKey International Holding Ltd;WIHN;31402927;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;US GAAP;;31.12.;BDO AG - CH[500705];No;;TRUE;Out
Xlife Sciences AG;XLS;46192960;CH;CHF;XSWX;Registered Share;1.00;Standard Sparks;IFRS;;31.12.;BDO AG - CH[500705];No;;TRUE;
Youngtimers AG;YTME;632685;CH;CHF;XSWX;Bearer Share;0.42;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Berney Associés Audit SA - CH;No;;TRUE;
Ypsomed Holding AG;YPSN;1939699;CH;CHF;XSWX;Registered Share;14.15;Swiss Reporting Standard;Swiss GAAP FER;;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Up
Zehnder Group AG;ZEHN;27653461;CH;CHF;XSWX;Registered Share;0.05;Swiss Reporting Standard;Swiss GAAP FER;23.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Zimmer Biomet Holdings Inc.;ZBH;1262932;US;CHF;XSWX;Registered Share;0.01;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
Züblin Immobilien Holding AG;ZUBN;31230968;CH;CHF;XSWX;Registered Share;22.50;Standard for Real Estate Companies;IFRS;21.06.2023;31.03.;SWA Swiss Auditors AG - CH[504689];No;;TRUE;
Zug Estates Holding AG;ZUGN;14805212;CH;CHF;XSWX;Registered Share;25.00;Standard for Real Estate Companies;Swiss GAAP FER;06.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Zuger Kantonalbank AG;ZUGER;49389124;CH;CHF;XSWX;Registered Share;500.00;Swiss Reporting Standard;Bank law;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Zur Rose Group AG;ROSE;4261528;CH;CHF;XSWX;Registered Share;30.00;International Reporting Standard;IFRS;04.05.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Zurich Insurance Group AG;ZURN;1107539;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;06.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Zwahlen & Mayr SA;ZWM;266173;CH;CHF;XSWX;Bearer Share;200.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Mazars SA - CH[500241];No;;TRUE;
