Company;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
Comet Holding AG;COTN;36082699;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;20.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Compagnie de Saint-Gobain;GOB;490580;FR;CHF;XSWX;Bearer Share;4.00;International Reporting Standard;;;;PricewaterhouseCoopers Audit - FR;No;;FALSE;
Compagnie Financière Richemont SA;CFR;21048333;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;07.09.2022;31.03.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Compagnie financière Tradition S.A.;CFT;1434511;CH;CHF;XSWX;Bearer Share;2.50;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;
COSMO Pharmaceuticals N.V.;COPN;32590356;NL;CHF;XSWX;Registered Share;0.26;International Reporting Standard;IFRS;;31.12.;BDO Audit & Assurance BV - NL[1300031];No;;TRUE;Out
CPH Chemie + Papier Holding AG;CPHN;162471;CH;CHF;XSWX;Registered Share;0.20;Swiss Reporting Standard;Swiss GAAP FER;14.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Crealogix Holding AG;CLXN;1111570;CH;CHF;XSWX;Registered Share;8.00;Swiss Reporting Standard;Swiss GAAP FER;26.10.2022;30.06.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Credit Suisse Group AG;CSGN;1213853;CH;CHF;XSWX;Registered Share;0.04;International Reporting Standard;US GAAP;04.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Sustainability Accounting Standards Board Standard (SASB Standard);TRUE;
Datacolor AG;DCN;853104;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;07.12.2022;30.09.;KPMG AG - CH[501403];No;;TRUE;
Dätwyler Holding AG;DAE;3048677;CH;CHF;XSWX;Bearer Share;0.05;Swiss Reporting Standard;Swiss GAAP FER;07.03.2023;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
DKSH Holding AG;DKSH;12667353;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Up
dormakaba Holding AG;DOKA;1179595;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;11.10.2022;30.06.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Dottikon ES Holding AG;DESN;58258171;CH;CHF;XSWX;Registered Share;0.01;Swiss Reporting Standard;Swiss GAAP FER;07.07.2023;31.03.;KPMG AG - CH[501403];No;;TRUE;Out
Dufry AG;DUFN;2340545;CH;CHF;XSWX;Registered Share;5.00;International Reporting Standard;IFRS;31.08.2022;31.12.;Deloitte AG - CH[500420];Yes;Global Reporting Initiative (GRI);TRUE;
Edisun Power Europe AG;ESUN;2473640;CH;CHF;XSWX;Registered Share;30.00;Swiss Reporting Standard;Swiss GAAP FER;21.04.2023;31.12.;BDO AG - CH[500705];No;;TRUE;
EEII AG;EEII;716295;CH;CHF;XSWX;Bearer Share;7.10;Standard for Investment Companies;IFRS;;31.12.;BDO AG - CH[500705];No;;TRUE;Out
EFG International AG;EFGN;2226822;CH;CHF;XSWX;Registered Share;0.50;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Eli Lilly and Company;LLY;947556;US;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;Ernst & Young LLP - US;No;;FALSE;
Elma Electronic AG;ELMN;531916;CH;CHF;XSWX;Registered Share;11.00;Swiss Reporting Standard;Swiss GAAP FER;13.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Emmi AG;EMMN;1282989;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Ems-Chemie Holding AG;EMSN;1644035;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;13.08.2022;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Energiedienst Holding AG;EDHN;3965118;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;25.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
ENR Russia Invest SA;RUS;3447695;CH;CHF;XSWX;Bearer Share;12.40;Standard for Investment Companies;IFRS;;31.12.;BDO AG - CH[500705];No;;TRUE;Out
EPH European Property Holdings Plc;EPH;117016316;CY;EUR;XSWX;Registered Share;0.93;Standard for Real Estate Companies;IFRS;;31.12.;Deloitte AG - CH[500420];No;;TRUE;
EPIC Suisse AG;EPIC;51613168;CH;CHF;XSWX;Registered Share;0.04;Standard for Real Estate Companies;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Evolva Holding SA;EVE;2121806;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;;31.12.;Mazars SA - CH[500241];No;;TRUE;
Feintool International Holding AG;FTON;932009;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;25.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Flughafen Zürich AG;FHZN;31941693;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Up
Forbo Holding AG;FORN;354151;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;30.03.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Formulafirst Ltd.;FFI;1462983;VG;CHF;XSWX;Bearer Share;0.01;Standard for Investment Companies;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Fundamenta Real Estate AG;FREN;4582551;CH;CHF;XSWX;Registered Share;6.00;Standard for Real Estate Companies;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Galenica AG;GALE;36067446;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;03.05.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
GAM Holding AG;GAM;10265962;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Geberit AG;GEBN;3017040;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;19.04.2023;03.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
General Electric Co.;GE;112258433;US;CHF;XSWX;Registered Share;0.01;International Reporting Standard;;;;KPMG LLP - US;No;;FALSE;
Georg Fischer AG;GF;116915100;CH;CHF;XSWX;Registered Share;0.05;Swiss Reporting Standard;Swiss GAAP FER;19.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Givaudan SA;GIVN;1064593;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];No;;TRUE;
Glarner Kantonalbank;GLKBN;18939665;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Bank law;28.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Goodyear Tire & Rubber Company;GT;935430;US;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
Graubündner Kantonalbank;GRKP;134020;CH;CHF;XSWX;Participation Certificate;100.00;Swiss Reporting Standard;Bank law;22.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Groupe Minoteries SA;GMI;1294946;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Gurit Holding AG;GURN;117356711;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
HBM Healthcare Investments AG;HBMN;1262725;CH;CHF;XSWX;Registered Share;29.30;Standard for Investment Companies;IFRS;19.06.2023;31.03.;Ernst & Young AG - CH[500646];No;;TRUE;
Helvetia Holding AG;HELN;46664220;CH;CHF;XSWX;Registered Share;0.02;International Reporting Standard;IFRS;28.04.2023;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;Up
HIAG Immobilien Holding AG;HIAG;23951877;CH;CHF;XSWX;Registered Share;1.00;Standard for Real Estate Companies;Swiss GAAP FER;27.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Highlight Event and Entertainment AG;HLEE;358325;CH;CHF;XSWX;Bearer Share;9.00;International Reporting Standard;IFRS;;31.12.;BDO AG - CH[500705];No;;TRUE;Out
HOCHDORF Holding AG;HOCN;2466652;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Holcim Ltd;HOLN;1221405;CH;CHF;XSWX;Registered Share;2.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Huber+Suhner AG;HUBN;3038073;CH;CHF;XSWX;Registered Share;0.25;Swiss Reporting Standard;Swiss GAAP FER;29.03.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Hypothekarbank Lenzburg AG;HBLN;134160;CH;CHF;XSWX;Registered Share;260.00;Swiss Reporting Standard;Bank law;18.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Idorsia Ltd;IDIA;36346343;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;US GAAP;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
IGEA Pharma N.V.;IGPH;41217478;NL;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;Mazars N.V. - NL;No;;TRUE;
Implenia AG;IMPN;2386855;CH;CHF;XSWX;Registered Share;1.02;International Reporting Standard;IFRS;28.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Ina Invest Holding AG;INA;52402695;CH;CHF;XSWX;Registered Share;0.03;Standard for Real Estate Companies;Swiss GAAP FER;29.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Up
INFICON HOLDING AG;IFCN;1102994;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;30.03.2023;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Interroll Holding AG;INRN;637289;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Intershop Holding AG;ISN;27377479;CH;CHF;XSWX;Registered Share;10.00;Standard for Real Estate Companies;Swiss GAAP FER;30.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Investis Holding SA;IREN;32509429;CH;CHF;XSWX;Registered Share;0.10;Standard for Real Estate Companies;Swiss GAAP FER;03.05.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
IVF HARTMANN Holding AG;VBSN;18762425;CH;CHF;XSWX;Registered Share;1.75;Swiss Reporting Standard;Swiss GAAP FER;25.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Julius Bär Gruppe AG;BAER;10248496;CH;CHF;XSWX;Registered Share;0.02;International Reporting Standard;IFRS;13.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Jungfraubahn Holding AG;JFN;1787578;CH;CHF;XSWX;Registered Share;1.50;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;BDO AG - CH[500705];No;;TRUE;
Kardex Holding AG;KARN;10083728;CH;CHF;XSWX;Registered Share;0.45;Swiss Reporting Standard;Swiss GAAP FER;20.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Up
Kinarus Therapeutics Holding AG;KNRS;911512;CH;CHF;XSWX;Registered Share;0.01;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Klingelnberg AG;KLIN;42046226;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;23.08.2022;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Komax Holding AG;KOMN;1070215;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;12.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Kudelski S.A.;KUD;1226836;CH;CHF;XSWX;Bearer Share;8.00;International Reporting Standard;IFRS;20.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Kühne + Nagel International AG;KNIN;2523886;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;09.05.2023;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Kuros Biosciences Ltd.;KURN;32581411;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Lalique Group SA;LLQ;3381329;CH;CHF;XSWX;Registered Share;0.20;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];No;;TRUE;
Landis+Gyr Group AG;LAND;37115349;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;US GAAP;;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
lastminute.com N.V.;LMN;23806732;NL;CHF;XSWX;Bearer Share;0.01;International Reporting Standard;IFRS;02.09.2022;31.12.;KPMG Accountants N.V. - NL[13000121];No;;TRUE;
Leclanché S.A.;LECN;11030311;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Up
LEM Holding SA;LEHN;2242762;CH;CHF;XSWX;Registered Share;0.50;International Reporting Standard;IFRS;29.06.2023;31.03.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Leonteq AG;LEON;19089118;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];Yes;Global Reporting Initiative (GRI);TRUE;Out
Liechtensteinische Landesbank AG;LLBN;35514757;LI;CHF;XSWX;Registered Share;5.00;International Reporting Standard;IFRS;05.05.2023;31.12.;KPMG (Liechtenstein) AG - LI[30018];No;;TRUE;
Logitech International S.A.;LOGN;2575132;CH;CHF;XSWX;Registered Share;0.25;International Reporting Standard;US GAAP;14.09.2022;31.03.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Lonza Group AG;LONN;1384101;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Luzerner Kantonalbank AG;LUKN;1169360;CH;CHF;XSWX;Registered Share;18.50;Swiss Reporting Standard;Bank law;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
MCH Group AG;MCHN;3954285;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Medacta Group SA;MOVE;46852522;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];No;;TRUE;Out
Medartis Holding AG;MED;38620023;CH;CHF;XSWX;Registered Share;0.20;International Reporting Standard;IFRS;21.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
medmix AG;MEDX;112967710;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Meier Tobler Group AG;MTG;20806262;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;13.03.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Metall Zug AG;METN;3982108;CH;CHF;XSWX;Registered Share;25.00;Swiss Reporting Standard;Swiss GAAP FER;28.04.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;Out
Meyer Burger Technology AG;MBTN;10850379;CH;CHF;XSWX;Registered Share;0.05;Swiss Reporting Standard;Swiss GAAP FER;04.05.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Mikron Holding AG;MIKN;339006;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;26.04.2023;31.12.;BDO AG - CH[500705];No;;TRUE;
mobilezone holding ag;MOZN;27683769;CH;CHF;XSWX;Registered Share;0.01;Swiss Reporting Standard;Swiss GAAP FER;05.04.2023;31.12.;BDO AG - CH[500705];No;;TRUE;
Mobimo Holding AG;MOBN;1110887;CH;CHF;XSWX;Registered Share;3.40;Standard for Real Estate Companies;IFRS;11.04.2023;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Molecular Partners AG;MOLN;25637909;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;
Montana Aerospace AG;AERO;111042565;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;
NEBAG AG;NBEN;505943;CH;CHF;XSWX;Registered Share;1.10;Standard for Investment Companies;IFRS;12.05.2023;31.12.;BDO AG - CH[500705];No;;TRUE;Up
Nestlé AG;NESN;3886335;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;20.04.2023;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Newron Pharmaceuticals S.p.A.;NWRN;2791431;IT;CHF;XSWX;Registered Share;0.20;International Reporting Standard;IFRS;;31.12.;E & Y, Reconta Ernst & Young S.p.A. - IT;No;;TRUE;
NIBE Industrier AB;NIBEB;111709033;SE;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;;No;;FALSE;
Novartis AG;NOVN;1200526;CH;CHF;XSWX;Registered Share;0.50;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Novavest Real Estate AG;NREN;21218624;CH;CHF;XSWX;Registered Share;25.25;Standard for Real Estate Companies;Swiss GAAP FER;22.03.2023;31.12.;PricewaterhouseCoopers AG - CH[050003];No;;TRUE;Out
ObsEva SA;OBSN;34617770;CH;CHF;XSWX;Registered Share;0.08;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
OC Oerlikon Corporation AG;OERL;81682;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Out
ONE swiss bank SA;ONE;47324350;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Bank law;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Orascom Development Holding AG;ODHN;3828567;CH;CHF;XSWX;Registered Share;5.00;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];No;;TRUE;
Orell Füssli  AG;OFN;342080;CH;CHF;XSWX;Registered Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Orior AG;ORON;11167736;CH;CHF;XSWX;Registered Share;4.00;Swiss Reporting Standard;Swiss GAAP FER;19.04.2023;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Partners Group Holding AG;PGHN;2460882;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
Peach Property Group AG;PEAN;11853036;CH;CHF;XSWX;Registered Share;30.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
PepsiCo Inc.;PEP;961618;US;CHF;XSWX;Registered Share;0.02;International Reporting Standard;;;;KPMG LLP - US;No;;FALSE;
Perrot Duval Holding SA;PEDU;25262070;CH;CHF;XSWX;Bearer Share;50.00;Swiss Reporting Standard;Swiss GAAP FER;29.09.2022;30.04.;KPMG AG - CH[501403];No;;TRUE;Out
Philip Morris International Inc;PMI;3754629;US;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;PricewaterhouseCoopers AG - CH[500003];No;;FALSE;
Phoenix Mecano AG;PM;218781;CH;CHF;XSWX;Bearer Share;1.00;Swiss Reporting Standard;Swiss GAAP FER;17.05.2023;31.12.;BDO AG - CH[500705];No;;TRUE;Up
PIERER Mobility AG;PMAG;41860974;AT;CHF;XSWX;Bearer Share;0.00;International Reporting Standard;IFRS;;31.12.;KPMG Wirtschaftsprüfungs- und Steuerberatungs GmbH - AT;No;;TRUE;Out
PLAZZA AG;PLAN;28414291;CH;CHF;XSWX;Registered Share;0.50;Standard for Real Estate Companies;Swiss GAAP FER;04.04.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;Out
PolyPeptide Group AG;PPGN;111076085;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;12.04.2023;31.12.;BDO AG - CH[500705];No;;TRUE;Out
Private Equity Holding AG;PEHN;608992;CH;CHF;XSWX;Registered Share;6.00;Standard for Investment Companies;IFRS;;31.03.;KPMG AG - CH[501403];No;;TRUE;Out
PSP Swiss Property AG;PSPN;1829415;CH;CHF;XSWX;Registered Share;0.10;Standard for Real Estate Companies;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
RELIEF THERAPEUTICS Holding AG;RLF;10019113;CH;CHF;XSWX;Registered Share;0.01;International Reporting Standard;IFRS;;31.12.;Mazars SA - CH[500241];No;;TRUE;Out
Rieter Holding AG;RIEN;367144;CH;CHF;XSWX;Registered Share;5.00;International Reporting Standard;IFRS;20.04.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Roche Holding AG;ROG;1203204;CH;CHF;XSWX;Dividend Right Certificate;0.00;International Reporting Standard;IFRS;14.03.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Roche Holding AG;RO;1203211;CH;CHF;XSWX;Bearer Share;1.00;International Reporting Standard;IFRS;14.03.2023;31.12.;KPMG AG - CH[501403];No;;TRUE;
Romande Energie Holding SA;HREN;2560733;CH;CHF;XSWX;Registered Share;25.00;Swiss Reporting Standard;Swiss GAAP FER;16.05.2023;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Royal Bank of Canada;RY;699232;CA;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;Deloitte & Touche LLP - CA;No;;FALSE;
Santhera Pharmaceuticals Holding AG;SANN;2714864;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Schaffner Holding AG;SAHN;906209;CH;CHF;XSWX;Registered Share;32.50;Swiss Reporting Standard;Swiss GAAP FER;10.01.2023;30.09.;BDO AG - CH[500705];No;;TRUE;
Schindler Holding AG;SCHP;2463819;CH;CHF;XSWX;Participation Certificate;0.10;International Reporting Standard;IFRS;28.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Schindler Holding AG;SCHN;2463821;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;28.03.2023;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
