COMPANY NAME,COUNTRY / TERRITORY,2-LETTER CODE,ACCOUNTING CODE (PAX),AIRLINE PREFIX CODE
Flybe Limited dba Flybe,United Kingdom,BE,,
FLYBOSNIA DOO,Bosnia and Herzegovina,6W,,
FlyEgypt,Egypt,FT,171,
Flydubai dba Dubai Aviation Corporation "FLYDUBAI",United Arab Emirates,FZ,141,141
FlyFirefly Sdn. Bhd dba Firefly,Malaysia,FY,918,
FLYGTA INC.,Canada,SX,,013
Flynas Company Closed Joint Stock owned by (NAS Holding) JSC,Saudi Arabia,XY,593,593
FLYONE ARMENIA Limited Liability Co,Armenia,3F,,379
Flyr AS, Part-OPS,Norway,FS,,
Freebird Airlines,Turkey,FH,349,
Freebird Airlines Europe Ltd.,Malta,MI*,,
FREEDOM AIRLINE EXPRESS LTD,Kenya,4F,,
French Bee dba French Bee,France,BF,396,396
Frontier Airlines, Inc.,UNITED STATES OF AMERICA,F9,422,422
Fuji Dream Airlines Co. Ltd,Japan,JH,,
Fuzhou Airlines Co., Ltd,People's Republic of China,FU,666,666
Galistair Trading Ltd,Malta,,,751
Gazpromavia Aviation Company Ltd.,Russian Federation,4G*,579,
Genghis Khan Airlines Co., Ltd,People's Republic of China,9D,568,568
Georgian Airlines LLC dba Aircompany Georgian Airlines,Georgia,GH,,800
Georgian Airways,Georgia,A9,606,606
German Airways GmbH & Co.KG,Germany,ZQ,,944
GetJet Airlines,Lithuania,GW*,,059
Ghadames Air Transport,Libyan Arab Jamahiriya,NJ,,
Ghodawat Enterprises Pvt.Ltd. dba Ghodawat Enterprises,India,S5,,
Global Air Transport dba Global Air Transport,Libyan Arab Jamahiriya,5S,301,301
Global Aviation Operations (PTY)Ltd,South Africa,GE,,
Global Crossing Airlines, Inc,UNITED STATES OF AMERICA,G6*,,402
Global Feeder Services, LLC,UNITED STATES OF AMERICA,GC,,282
Go Airlines (India) Limited,India,G8*,879,879
Go2Sky, spol s r.o.,Slovakia,6G,,
GoJet Airlines LLC,UNITED STATES OF AMERICA,G7,573,573
GOL Linhas Aereas S.A.,Brazil,G3,127,127
Golden Myanmar Airlines Public Co. Ltd dbaGolden Myanmar Airlines Public Co.Ltd,Myanmar,Y5,509,509
GP Aviation Ltd,Bulgaria,IV,,
Grand Canyon Airlines, Inc. dba Scenic Airlines,UNITED STATES OF AMERICA,YR,,
Grand China Air Co. , Ltd.,People's Republic of China,CN,895,895
Grant Aviation, Inc.,UNITED STATES OF AMERICA,GV*,,
Greater Bay Airlines Company Limite,Hong Kong (SAR), China,HB,283,
Green Africa Airways Limited,Nigeria,Q9,,
Groupe Transair S.A,Senegal,R2,812,
GSEC Monarch and Deccan Aviation Pr Limited DBA IndiaOne Air,India,I7,,
Guangxi Beibu Gulf Airlines Co.,Ltd,People's Republic of China,GX,872,872
Gulf & Caribbean Cargo, Inc,UNITED STATES OF AMERICA,IF*,,611
Gulf Air B.S.C. (c),Bahrain,GF,072,072
Gullivair Ltd. dba Gullivair,Bulgaria,G2,,
Hahn Air Lines GmbH,Germany,HR,169,169
Hahn Air Systems,Germany,H1,,
Hahn Air Technologies GmbH,Germany,X1,,
Hainan Airlines Holding Company Limited,People's Republic of China,HU,880,880
Hala Air,Libyan Arab Jamahiriya,HY*,,
Harbour Air Ltd.,Canada,YB,,
Hawaiian Airlines, Inc.,UNITED STATES OF AMERICA,HA,173,173
Hebei Airlines Co., Ltd.,People's Republic of China,NS,836,836
Heli Air Monaco,Monaco,YO,,
Heli Securite Helicopter Airline,France,HS,,
Hello Jets S.R.L.,Romania,H3,,
Helvetic Airways AG,Switzerland,2L,102,
HI AIR Co., Ltd.,Korea, Republic of,4H,,
Hi Fly Ltd,Malta,3L*,,
Himalaya Airlines Pvt. Ltd.,Nepal,H9,769,769
Hibernian Airlines,Ireland,HG*,,
Hinterland Aviation Pty Ltd,Australia,OI,,
HiSky Europe SRL,Romania,H4,,
Hitit Bilgisayar Hizmetleri A.S.,Turkey,1T,,
Hong Kong Air Cargo Carrier Limited,Hong Kong (SAR), China,RH,,828
Hong Kong Airlines Limited,Hong Kong (SAR), China,HX,851,851
Hong Kong Express Airways Limited,Hong Kong (SAR), China,UO,128,128
HOP!,France,A5,163,
Hopscotch Air, Inc,UNITED STATES OF AMERICA,O2,764,
Hunnu Air LLC,Mongolia,MR,861,861
Horizon Air Industries, Inc.,UNITED STATES OF AMERICA,QX,481,481
Hyannis Air Service, Inc. d/b/a Cape Air,UNITED STATES OF AMERICA,9K,306,
IATA Montreal,Canada,XB,,
IBC Airways, Inc.,UNITED STATES OF AMERICA,II,,175
Iberia Lineas Aereas de Espana S.A. Operadora,Spain,IB,075,075
IBEX Airlines Co., Ltd.,Japan,FW,,
Ibom Airlines Limited,Nigeria,QI,,
IBS Software Services Americas, Inc,UNITED STATES OF AMERICA,V1,,
Icelandair ehf.,Iceland,FI,108,108
Iliamna Air Taxi Inc.,UNITED STATES OF AMERICA,V8*,,
INFINI Travel Information, Inc.,Japan,1F,788,
INNOAVIATION LIMITED,Hong Kong (SAR), China,I3,,
InteliSys Aviation Systems (2013) I,Canada,1Q,,
interCaribbean Airways, Ltd.,Turks and Caicos Islands,JY,653,
Interglobe Aviation Ltd. dba IndiGo,India,6E*,312,312
InterJet West, Inc.,UNITED STATES OF AMERICA,K8*,,
Intermodalidad de Levante S.A.,Spain,I6,185,
International Air Transport Association (IATA),Canada,XB,726,726
International Air Transport Association (IATA),Canada,XB,955,955
International Air Transport Association (IATA),Canada,XB,952,952
International Air Transport Association (IATA),Canada,XB,956,956
International Air Transport Association (IATA),Canada,XB,719,719
International Air Transport Association (IATA),Canada,XB,954,954
International Air Transport Association (IATA),Canada,XB,748,748
International Air Transport Association (IATA),Canada,XB,721,721
International Air Transport Association (IATA),Canada,XB,736,736
Iran Air,Iran,IR,096,096
Iran Airtour Airline,Iran,B9,491,491
Iran Aseman Airlines,Iran,EP,815,815
Iraqi Airways dba I A W,Iraq,IA,073,
Island Aviation Services Ltd.,Maldives,Q2,986,986
Israir Airlines and Tourism Ltd. dba Israir,Israel,6H,818,
ITA Software Inc.,UNITED STATES OF AMERICA,1U,968,
Italia Trasporto Aereo S.p.A. dba ITA S.p.A,Italy,AZ,055,055
Izhavia Public Stock Company,Russian Federation,I8,025,
J AND M Alaska Air Tours Inc. dba Alaska Air Transit,UNITED STATES OF AMERICA,JN,,
Jambojet Limited,Kenya,JM,702,702
Japan Air Commuter Co., Ltd.,Japan,JC,,
Japan Airlines Co., Ltd.,Japan,JL,131,131
Japan Transocean Air Co. Ltd.,Japan,NU,353,353
Jazeera Airways,Kuwait,J9*,486,486
Jazz Aviation LP,Canada,QK,983,983
JC (Cambodia) International Airlines,Cambodia,QD,009,
Jeju Air Co. Ltd.,Korea, Republic of,7C,806,
Jet Airways (India) Limited,India,9W,,
Jet Airways Inc.,UNITED STATES OF AMERICA,QJ,,508
Jet Aviation Business Jets AG,Switzerland,PP,,
Jet Exchange Limited,United Kingdom,UH,,
Jet Linx Aviation, LLC.,UNITED STATES OF AMERICA,JL*,,
Jet Ops dba Jet Ops,United Arab Emirates,J6*,,
JET UP AVIATION LLC,UNITED STATES OF AMERICA,JU*,,
Jet2.com Limited,United Kingdom,LS,949,949
Jetblue Airways Corporation,UNITED STATES OF AMERICA,B6*,279,
JetSMART Airlines Peru S.A.C.,Peru,JZ,981,
Jetsmart Airlines S.A.,Argentina,WJ,974,
JETSMART SpA,Chile,JA,973,
Jetstar Airways Pty Limited,Australia,JQ,041,
Jetstar Asia Airways Pte Ltd,Singapore,3K*,,375
Jetstar Japan Co., Ltd.,Japan,GK,798,
Jettainer GmbH,Germany,JE*,,
Jiangxi Air Company Limited dba Jiangxi Air,People's Republic of China,RY,989,989
Jin Air Co. Ltd,Korea, Republic of,LJ,718,
Joint Stock Aviation Company "RusLine",Russian Federation,7R,362,
Joint Stock Company "Ural Airlines",Russian Federation,U6,262,262
Joint Stock Company Aircompany "Yakutia",Russian Federation,R3,849,849
Joint Stock Company Red Wings,Russian Federation,WZ,309,
Joint Stock Company Smartavia Airlines,Russian Federation,5N,316,316
Joint-Stock Company "Azimuth Airlines",Russian Federation,A4,222,
Joint-Stock Company "Yamal Airlines,Russian Federation,YC,664,664
Joint-Stock Company Aurora Airlines,Russian Federation,HZ,598,598
Joint-stock company NordStar Airlines dba NORDSTAR,Russian Federation,Y7,476,476
Jordan Aviation dba Jordan Aviation Airlines,Jordan,R5,151,151
Joy Air,People's Republic of China,JR,929,929
JR Technologies Ireland,Ireland,1R,,
JSC "Avion Express",Lithuania,X9,,
JSC "DAT LT" dba DAT,Lithuania,R6,,
JSC "Sirena-Travel",Russian Federation,1H,446,
JSC AIR ASTANA,Kazakhstan,KC,465,465
JSC Aircompany SCAT,Kazakhstan,DV,655,655
JSC for Air Traffic-Air Serbia Belgrade t/a Air Serbia a.d Beograd,Serbia,JU,115,115
JSC Royal Flight Airlines,Russian Federation,RL,750,750
JSC Siberia Airlines dba S7 airlines,Russian Federation,S7,421,421
JSC UVT AERO,Russian Federation,RT,,
Jubba Airways Limited,Kenya,3J,535,535
Juneyao Airlines Co,. Ltd.,People's Republic of China,HO,018,018
K-Mile Air Co. Ltd dba K-Mile Air,Thailand,8K,,119
Kalinin Aviation, L.L.C. Alaska Seaplane Service, L.L.C.,UNITED STATES OF AMERICA,J5,,
Kalitta Air, LLC,UNITED STATES OF AMERICA,K4,,272
Kalitta Charters II LLC,UNITED STATES OF AMERICA,K5*,,
Kalitta Charters, L.L.C.,UNITED STATES OF AMERICA,K9*,,
Kam Air dba Kam Air,Afghanistan,RQ*,384,384
KAMPALA AEROCLUB AND FLIGHT TRAINING CENTER dba BAR AVIATION LIMITED,Uganda,HE,,
Kelowna Flightcraft Air Charter Ltd dba KF Cargo,Canada,FK,,758
Kenmore Air,UNITED STATES OF AMERICA,M5*,,
Kenya Airways Plc,Kenya,KQ,706,706
Key Lime Air Corporation,UNITED STATES OF AMERICA,KG,494,
KLM,Netherlands,KL,074,074
KLM Cityhopper,Netherlands,WA,,
Korean Air Lines Co. Ltd.,Korea, Republic of,KE,180,180
Kunming Airlines Co., Ltd.,People's Republic of China,KY,833,833
Kuwait Airways dba Kuwait Airways,Kuwait,KU,229,229
LAM - Linhas Aereas de Mocambique SA dba LAM, SA,Mozambique,TM,068,068
Lan Cargo S.A. dba LATAM Cargo Chile,Chile,UC,,145
Lanmei Airlines (Cambodia) Co.,Ltd,Cambodia,LQ,961,961
Lao Airlines,Lao People's Democratic Republic,QV,627,627
Lao Skyway dba Commercial Air Transport and Charter,Lao People's Democratic Republic,LK,,
LATAM Airlines Group S.A. dba LATAM Airlines Group,Chile,LA,045,045
LATAM Airlines Peru S.A.,Peru,LP,544,544
Lauda Europe Ltd,Malta,LW,,
LEAV Aviation GmbH,Germany,KK,,
Les Investissements Nolinor Inc.,Canada,N5,817,
LIAT (1974) Ltd.,Antigua and Barbuda,LI,,
LIBYAN AIRLINES dba LIBYAN AIRLINES,Libyan Arab Jamahiriya,LN,148,148
Libyan Wings Airline JSC,Libyan Arab Jamahiriya,YL,368,
Limited Liability Company ''GloBus",Russian Federation,XT,,
Limited Liability Company "Abakan Air" d ba "Abakan Air",Russian Federation,S5*,,917
Limited Liability Company "Aircompa ZetAvia" dba "Aircompany ZetAvia",Ukraine,ZK*,,686
Limited Liability Company Aviation Company Eleron,Ukraine,WD*,,352
Limited Liability Company Bees Airline,Ukraine,7B,,517
Linea Aerea Carguera De Colombia SA,Colombia,L7,,985
Linea Aerea De Servicio Ejecutivo Regional, C.A. dba Laser,Venezuela,QL*,782,782
Lineas Aereas Suramericanas SA "LAS S.A.",Colombia,4L,,174
Link Conexion Aerea S.A. de C.V,Mexico,YQ,,
LLC "Aircompany "Ikar" dba Pegas Fly,Russian Federation,EO,770,770
LLC "Nord Wind",Russian Federation,N4,216,216
LLC "SKYUP AIRLINES",Ukraine,PQ,,010
LLC Air company AeroStan dba LLC Air company AeroStan,Kyrgyzstan,KW*,,321
LLP Air company Jupiter Jet,Kazakhstan,IM*,,707
Loganair Limited,United Kingdom,LM,682,682
LOGIC PAQ BTD, S.R.L dba Sky Cana,Dominican Republic,RD,440,
LongJiang Airlines Co.,Ltd.,People's Republic of China,LT,867,867
Longtail Aviation International Limited,Bermuda,6T,,388
LOT Polish Airlines,Poland,LO,080,080
LTD I Fly,Russian Federation,F7,757,757
Lucky Air Co. Ltd.,People's Republic of China,8L*,859,859
Lufthansa Cargo AG,Germany,LH,,020
Lufthansa CityLine GmbH,Germany,CL,683,683
Lufthansa Systems GmbH & Co. KG,Germany,S1,,
Lulutai Airlines Limited dba Lulutai Airlines,Tonga,L8,,
Lumiwings S.A dba Lumiwings,Greece,L9,,
Luxair,Luxembourg,LG,149,149
Luxwing Ltd,Malta,BN,,
Lynden Air Cargo, LLC,UNITED STATES OF AMERICA,L2,,344
M Jets International Sdn Bhd dba Kargo Xpress,Malaysia,WW*,,313
M/S Airblue Limited,Pakistan,PA,084,084
MAE Aircraft Management WLL,Bahrain,MA,,723
Magnum. Air, Inc dba Skyjet,Philippines,M8,,
Mahan Air,Iran,W5,537,537
Malawi Airlines,Malawi,3W*,529,529
Malaysia Airlines Berhad dba Malaysia Airlines,Malaysia,MH,232,232
MALETH-AERO AOC LIMITED,Malta,DB,,094
Malindo Airways Sdn Bhd dba Batik Air Malaysia,Malaysia,OD,816,
Malta Air Travel Ltd dba Malta MedAir,Malta,MT,,
Mandarin Airlines Ltd.,Chinese Taipei,AE,803,803
Mann Yadanarpon Airlines Co. Ltd.,Myanmar,7Y,,
Manta Aviation Pvt Ltd,Maldives,NR,,
MAP Linhas Aereas,Brazil,7M,,
Martinair Holland N.V.,Netherlands,MP,,129
MASwings Sdn Bhd dba MASwings,Malaysia,MY,819,
Mauritanian Airlines,Mauretania,L6,495,495
Max Air Limited,Nigeria,VM,,
Maximus Airlines Limited Liability Company,Ukraine,6M,,387
Maya Island Air,Belize,2M,391,
MCS Aerocarga de Mexico, S.A. de CV,Mexico,T2*,,137
Mel Air Limited,Malta,5M*,,
Mercury Air Cargo, Inc.,UNITED STATES OF AMERICA,4X*,,805
Mercury ULD Limited,Hong Kong (SAR), China,K8,,
Meregrass, Inc.,UNITED STATES OF AMERICA,WC,,
Mesa Airlines, Inc.,UNITED STATES OF AMERICA,YV,533,533
MetroJets, LLC,UNITED STATES OF AMERICA,7N,,007
MHS Aviation GmbH,Germany,M2,,
Miami Air International,UNITED STATES OF AMERICA,LL*,,
MIAT Mongolian Airlines,Mongolia,OM,289,289
Middle East Airlines AirLiban,Lebanon,ME,076,076
MNG Havayollari Tasimacilik A.S.,Turkey,MB,,716
Moalem Aviation Aircompany Limited Liability Company,Kyrgyzstan,2Y,,385
Modern Transporte Aereo de Carga SA dba Modern Logistics,Brazil,WD,,372
Monacair,Monaco,QM,,
Mongolian Airways Cargo LLC,Mongolia,XF,848,848
Montserrat Airways Limited dba Fly Montserrat,Montserrat,5M,,
Motor-Sich JSC,Ukraine,M9,011,011
Multi-Aero, Inc. dba Air Choice One,UNITED STATES OF AMERICA,3E,122,
My Jet Xpress Airlines Sdn.Bhd.,Malaysia,N7*,,264
Myanmar Airways International Company Limited,Myanmar,8M,599,599
Myanmar National Airlines dba Myanmar National Airlines,Myanmar,UB*,665,
Myway Airlines Co.,LTD,Georgia,MJ,669,669
National Air Cargo Group, Inc. dba National Airlines,UNITED STATES OF AMERICA,N8,416,416
National Air Charters, Inc.,UNITED STATES OF AMERICA,JY*,,420
Nauru Air Corporation dba Nauru Airlines,Australia,ON,123,123
Navitaire,UNITED STATES OF AMERICA,1N,892,
Neos S.P.A.,Italy,NO*,703,703
Nepal Airlines Corporation,Nepal,RA,285,285
Nesma Airlines,Egypt,NE,477,
Nesma Airlines Company Ltd. dba Nesma Airlines,Saudi Arabia,NA,646,
NetJets Aviation, Inc.,UNITED STATES OF AMERICA,1I,,
Niger Air Cargo,Niger,NO,,519
Niger Airlines S.A.,Niger,6N,,
Nile Air,Egypt,NP,325,325
Nippon Cargo Airlines,Japan,KZ,,933
Nok Airlines Public Company Limited dba Nok Air,Thailand,DD,596,596
Nordic Aviation Group AS dba Nordica,Estonia,ND,121,
Nordic Regional Airlines Oy,Finland,N7,,
Norse Atlantic Airways AS,Norway,N0,,506
North-Western Cargo International Airlines Co., Ltd.,People's Republic of China,CO,,966
North-Wright Airways Ltd.,Canada,HW,,
Northern Air Cargo, LLC.,UNITED STATES OF AMERICA,NC*,,345
Northern Pacific Airways dba Ravn Alaska,UNITED STATES OF AMERICA,7H,808,808
Northwestern Air Lease Ltd.,Canada,J3,,
Norwegian Air Norway AS,Norway,DH*,,
Norwegian Air Shuttle AOC AS,Norway,DY,328,328
Norwegian Air Sweden AB,Sweden,LE,348,348
Norwegian Air Sweden AOC AB,Sweden,D8,329,
Nouvelair Tunisie,Tunisia,BJ,796,796
Nova Airlines AB,Sweden,N9*,,326
Novoair Limited,Bangladesh,VQ,855,855
NyxAir OU,Estonia,OJ,,
OAG Worldwide.,UNITED STATES OF AMERICA,XD,,
OJSC "Komiaviatrans",Russian Federation,KO,,
OJSC "Tajik Air",Tajikistan,7J,502,
Okay Airways Company Limited,People's Republic of China,BK,866,866
Olympic Air,Greece,OA,050,050
Oman Air (S.A.O.C),Oman,WY,910,910
Omni Air International, Inc.,UNITED STATES OF AMERICA,OY*,,
OMNI-BLU AVIATION LIMITED dba OMNI-BLU,Nigeria,O7,717,
One Airways, S.A.U. dba One Airways,Spain,OX,167,
Online Reservation System JSC,Russian Federation,1M,538,
OOO "Atran ",Russian Federation,V8,868,868
Open Joint Stock Company "ALROSA" (Mirny Air Enterprise),Russian Federation,6R,,
Open Joint Stock Company "Angara Airlines",Russian Federation,2G,735,
Orbest S.A.,Portugal,6O,182,
Oriental Air Bridge Co., Ltd.,Japan,OC,,
OTT AIRLINES CO., LTD,People's Republic of China,JF,,
Overland Airways Limited,Nigeria,OF,,
Pacific Airlines / Pacific Airlines Aviation JSC,Viet Nam,BL,550,550
Pacific Coastal Airlines Limited,Canada,8P,905,
Pakistan International Airlines Corporation Limited,Pakistan,PK,214,214
PAKLOOK AIR INC.,UNITED STATES OF AMERICA,K2,,
PAL Airlines LTD. dba Provincial Airlines/PAL Airline,Canada,PB,967,967
Panama Airways,Panama,8A,,691
Papillon Airways, Inc.,UNITED STATES OF AMERICA,HI,,
Passaredo Transportes Aereos S.A.,Brazil,2Z,678,
Peach Aviation Limited,Japan,MM,,
Pegasus Hava Tasimaciligi A.S.,Turkey,PC,624,624
Pelican Airlines Pty Ltd dba Flypelican,Australia,FP,166,
Pelita Air Service, Pt,Indonesia,IP,,
Perimeter Aviation LP dba Bearskin Airlines,Canada,JV,632,632
PETROLEUM AIR SERVICES,Egypt,UF,505,
Philippine Airlines, Inc.,Philippines,PR,079,079
Philippines AirAsia, INC. dba AirAsia,Philippines,Z2,457,457
PHOENIX AIR GROUP, INC.,UNITED STATES OF AMERICA,PH*,,
Piedmont Airlines, Inc. (U S Airways Express),UNITED STATES OF AMERICA,PT,531,
Pionair Australia Pty Ltd,Australia,PH,,
PJSC Aeroflot,Russian Federation,SU,555,555
PJSC Airline Ukraine-Airalliance,Ukraine,,,271
Plus Ultra Lineas Aereas, S. A.,Spain,PU,663,663
PNG Air Limited,Papua New Guinea,CG*,626,626
Polar Air Cargo Worldwide, Inc.,UNITED STATES OF AMERICA,PO,,403
Polar Airlines OJSC,Russian Federation,PI,545,
Polynesian Limited dba Samoa Airways,Samoa,OL,162,162
Porter Airlines Inc.,Canada,PD,451,451
Portugalia - Companhia Portuguesa de Transportes Aereos SA,Portugal,NI,685,685
Poste Air Cargo s.r.l. dba Poste Air Cargo,Italy,M4,,408
Precision Air Services Plc,Tanzania, United Republic of,PW,031,
Premier Trans Aire Inc.,UNITED STATES OF AMERICA,3X*,,435
Premium Jet AG,Switzerland,0J,,254
Prescott Support Company,UNITED STATES OF AMERICA,PM*,,
PRIVATE CORPORATION INTERNATIONAL JOINT-STOCK AVIATION COMPANY 'URGA',Ukraine,3N*,746,746
Private Stock Company "Ukraine International Airlines" dba UIA,Ukraine,PS,566,566
Privilege Style S.A.,Spain,P6,433,433
Proflight Commuter Services Limited dba Proflight Zambia,Zambia,P0,659,
PSA Airlines, Inc. (US Airways Express),UNITED STATES OF AMERICA,OH,320,
PSI AIR 2007, INC.,Philippines,CM*,,520
PT Rimbun Abadi Aviasi dba RIMBUN AIR,Indonesia,RI,,273
PT. Batik Air Indonesia dba Batik Air,Indonesia,ID,938,
PT. Citilink Indonesia dba Citilink,Indonesia,QG,,
PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia,Indonesia,GA,126,126
PT. Indonesia AirAsia dba AirAsia X Indonesia,Indonesia,QZ,975,975
PT. LION MENTARI AIRLINES dba Lion Airlines,Indonesia,JT*,990,
PT. My Indo Airlines,Indonesia,2Y*,,585
PT. Nam Air dba Nam Air,Indonesia,IN,274,
PT. Sqiva Sistem,Indonesia,Q1,,
PT. Sriwijaya Air dba Sriwijaya Air,Indonesia,SJ,977,977
PT. Super Air Jet,Indonesia,IU,920,
PT. Transnusa Aviation Mandiri,Indonesia,8B,,
PT. Wings Abadi dba Wings Air,Indonesia,IW,513,
PT.Trigana Air Service,Indonesia,IL,,
PT.Tri-MG Intra Asia Airlines,Indonesia,GM,,
Public Charters, Inc. dba Regional Sky,UNITED STATES OF AMERICA,4P,351,
Qanot Sharq LLC,Uzbekistan,HH,595,
Qantas Airways Ltd.,Australia,QF,081,081
Qatar Airways (Q.C.S.C.),Qatar,QR,157,157
Qazaq Air JSC,Kazakhstan,IQ,720,
Qeshm Air,Iran,QB,237,237
Qingdao Airlines Co., Ltd,People's Republic of China,QW,912,912
Qingdao Haier Biomedical Technology Ltd.,People's Republic of China,6U,,
Radixx Solutions International, Inc,UNITED STATES OF AMERICA,1D,,
RAF-AVIA A/S,Latvia,MT*,,
Raya Airways Sdn. Bhd. dba Raya Airways,Malaysia,TH,,539
RED AIR SRL,Dominican Republic,L5,377,
Redemption Inc.,UNITED STATES OF AMERICA,2O*,,
Regional Air Services Limited,Tanzania, United Republic of,8N,,
Regional Express Americas SAS,Colombia,EX,039,
REGIONAL EXPRESS PTY LIMITED,Australia,ZL,899,899
Regional Jet Ou dba Xfly,Estonia,EE,,
Regourd Aviation (dba AMELIA),France,8R,948,
Renfe Viajeros Sociedad Mercantil Estatal SA,Spain,4R,,
Republic Airways Inc,UNITED STATES OF AMERICA,YX,453,453
Rhoades Aviation Inc.,UNITED STATES OF AMERICA,T4*,,
Romcargo Airlines S.R.L,Romania,NJ*,,690
Rossiya Airlines JSC,Russian Federation,FV,195,195
Rotana Jet Aviation dba Rotana Jet,United Arab Emirates,RG,482,
Royal Air Charter Service Inc. dba Royal Air,Philippines,RW,869,
Royal Air Charters,Zambia,3Q,,
Royal Air Maroc,Morocco,AT,147,147
Royal Brunei Airlines Sdn. Bhd. dba Royal Brunei Airlines,Brunei Darussalam,BI,672,672
Ruili Airlines Co. Ltd.,People's Republic of China,DR,299,
Rutas Aereas, C.A. dba RUTACA,Venezuela,5R,,
RwandAir Limited,Rwanda,WB,459,459
Ryanair Ltd.,Ireland,FR,,
Ryanair Sun S.A.,Poland,RR,,
Ryanair UK Ltd,United Kingdom,RK,,
Sabre Asia Pacific Pte. Ltd.,Singapore,1B,776,
Sabre Inc.,UNITED STATES OF AMERICA,1S,153,
SAC (K) Limited,Kenya,K3,645,645
Safair Operations (Proprietary) Ltd dba Safair,South Africa,FA,640,640
Safari Express Cargo Ltd,Kenya,ZF*,,925
Safarilink Aviation LTD,Kenya,F2*,705,
Saffron Aviation (Pvt) Ltd dba Cinnamon Air,Sri Lanka,C7,,
Saint Barth Commuter,Guadeloupe,PV*,,
Salam Air (S.A.O.C),Oman,OV,,960
SATA Internacional - Azores Airlines, S.A.,Portugal,S4,331,331
SATA (Air Acores),Portugal,SP,737,737
SATCO, INC.,UNITED STATES OF AMERICA,S3,,
Saudi Arabian Airlines Corporation,Saudi Arabia,SV,065,065
Scandinavian Airlines Ireland Limited dba SAS Connect,Ireland,SL*,,
Scandinavian Airlines System (SAS),Sweden,SK,117,117
Scoot Pte. Ltd dba Scoot,Singapore,TR,668,668
Scott Air, LLC dba Island Air Express,UNITED STATES OF AMERICA,I4,,
Seaborne Airlines,Puerto Rico,BB*,376,
Sepehran Airlines,Iran,IS,714,
Serene Air (PVT.) Limited,Pakistan,ER,092,
Servicio Aereo a Territorios Nacion "SATENA",Colombia,9R*,019,
Servicios Aereos GECA S.A dba GECA,Dominican Republic,D6,,
Servicios Aereos Nacionales S.A. SANSA,Colombia,RZ*,,
Seven Four Eight Air Services(K)Ltd,Kenya,FE,874,874
Severstal Aircompany Ltd,Russian Federation,D2*,103,
SF Airlines Company Limited,People's Republic of China,O3,,921
Shandong Airlines,People's Republic of China,SC,324,324
Shanghai Airlines Co. Ltd.,People's Republic of China,FM,774,774
Shenzhen Airlines,People's Republic of China,ZH,479,479
Sharp Aviation Pty. Ltd t/a Sharp Airlines,Australia,SH,,
SHREE AIRLINES Pvt. Ltd.,Nepal,N9,,
Shun Tak-China Travel Ship Mgmt. Ltd,Hong Kong (SAR), China,8S*,802,802
Sichuan Airlines Co. Ltd.,People's Republic of China,3U,876,876
Sierra Pacific Airlines, Inc.,UNITED STATES OF AMERICA,SI*,,
Silk Way Airlines LLC,Azerbaijan,ZP*,,463
Silk Way West Airlines LLC,Azerbaijan,7L*,,501
Silver Airways Corp,UNITED STATES OF AMERICA,3M,449,449
Singapore Airlines Limited,Singapore,SQ,618,618
SITA - Airlines Worldwide Telecommunications and Information,Belgium,XS,950,950
Skippers Aviation Pty Ltd.,Australia,HK,,
SKS Airways Sdn. Bhd.,Malaysia,KI,,
Sky Airline S.A.,Chile,H2,605,605
Sky Angkor Airlines dba Sky Angkor Airlines Co., Ltd,Cambodia,ZA,969,969
Sky Bus S.A.C.,Peru,HV*,,
Sky Capital Airlines Limited dba Sky Air,Bangladesh,S8*,,442
Sky Express S.A.,Greece,GQ,633,
Sky High Aviation Services,Dominican Republic,DO,791,
Sky Jet M.G. Inc.,Canada,DU,,
Sky Lease I, Inc.,UNITED STATES OF AMERICA,GG,,576
Sky Mali SA. dba Sky Mali SA.,Mali,ML,332,
Sky Prime Charter,Saudi Arabia,UY,532,
Sky Taxi sp. z.o.o,Poland,TE,,022
Skymark Airlines Inc.,Japan,BC,090,
Skytrans PTY Ltd. dba Skytrans,Australia,QN,,
Skywagon Corporation,UNITED STATES OF AMERICA,SX*,,906
Skyward Express ltd,Kenya,OW,,
SkyWest Airlines,UNITED STATES OF AMERICA,OO,302,
Smart Cargo S.A.,Luxembourg,,,015
Smartlynx Airlines Ltd.,Latvia,6Y,,
Smartwings Hungary Kft. dba Smartwings Hungary Kft.,Hungary,7O,,
Smartwings Poland Sp. z o.o. dba Smartwings Poland,Poland,3Z,,
Smartwings Slovakia, s.r.o,Slovakia,6D,,
Smartwings, a.s.,Czech Republic,QS,797,797
Smokey Bay Air, Inc.,UNITED STATES OF AMERICA,2E*,,
SNCF,France,2C*,,
Solar Cargo, C.A.,Venezuela,4S*,,644
Solaseed Air Inc.,Japan,6J,,
Solenta Aviation Mozambique SA dba Solenta Aviation Mozambique SA,Mozambique,FW*,,
SOLINAIR Latelsko Podjetje d.o.o.,Slovenia,SP*,,265
Solitaire Air Ltd. Co.(dba: Fly Jor dan),Jordan,F0*,,
SONOCO THERMOSAFE,UNITED STATES OF AMERICA,YZ,,
Solomon Airlines Limited,Solomon Islands,IE,193,193
Sounds Air Travel and Tourism Ltd.,New Zealand,S8,346,
South African Airways SOC LTD dba South African Airways,South Africa,SA,083,083
South East Asian Airlines (SEAIR) International, Inc.,Philippines,XO,,
